state,district,total_enrolments,total_biometric_updates,total_demographic_updates,biometric_update_ratio,demographic_update_ratio,service_stress_score,stress_category
100000,100000,218.0,0.0,2.0,0.0,0.009174311926605505,0.0045871559633027525,Low (Stable Region)
Andaman & Nicobar Islands,Andamans,75.0,2015.0,750.0,26.866666666666667,10.0,18.433333333333334,Very High (Priority Intervention)
Andaman & Nicobar Islands,Nicobars,1.0,2.0,4.0,2.0,4.0,3.0,Very High (Priority Intervention)
Andaman & Nicobar Islands,South Andaman,38.0,367.0,305.0,9.657894736842104,8.026315789473685,8.842105263157894,Very High (Priority Intervention)
Andaman And Nicobar Islands,Nicobar,75.0,1811.0,787.0,24.14666666666667,10.493333333333334,17.32,Very High (Priority Intervention)
Andaman And Nicobar Islands,North And Middle Andaman,132.0,6383.0,2009.0,48.35606060606061,15.219696969696969,31.78787878787879,Very High (Priority Intervention)
Andaman And Nicobar Islands,South Andaman,190.0,10120.0,3391.0,53.26315789473684,17.847368421052632,35.555263157894736,Very High (Priority Intervention)
Andhra Pradesh,Adilabad,1419.0,52038.0,29291.0,36.6723044397463,20.64200140944327,28.657152924594783,Very High (Priority Intervention)
Andhra Pradesh,Alluri Sitharama Raju,1255.0,18607.0,12871.0,14.826294820717132,10.255776892430278,12.541035856573705,Very High (Priority Intervention)
Andhra Pradesh,Anakapalli,543.0,6723.0,13460.0,12.38121546961326,24.788213627992633,18.584714548802946,Very High (Priority Intervention)
Andhra Pradesh,Anantapur,4415.0,93565.0,68745.0,21.1925254813137,15.570781426953568,18.381653454133634,Very High (Priority Intervention)
Andhra Pradesh,Ananthapur,1994.0,84132.0,30026.0,42.1925777331996,15.058174523570711,28.625376128385156,Very High (Priority Intervention)
Andhra Pradesh,Ananthapuramu,3187.0,109602.0,55944.0,34.39033573893944,17.553812362723566,25.972074050831502,Very High (Priority Intervention)
Andhra Pradesh,Annamayya,1021.0,9712.0,33634.0,9.512242899118512,32.94221351616063,21.22722820763957,Very High (Priority Intervention)
Andhra Pradesh,Bapatla,492.0,5982.0,13514.0,12.158536585365853,27.46747967479675,19.8130081300813,Very High (Priority Intervention)
Andhra Pradesh,Chittoor,8199.0,251438.0,169636.0,30.66691059885352,20.689840224417612,25.678375411635564,Very High (Priority Intervention)
Andhra Pradesh,Cuddapah,5934.0,170796.0,83667.0,28.782608695652176,14.099595551061679,21.441102123356927,Very High (Priority Intervention)
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,665.0,7306.0,14156.0,10.986466165413534,21.28721804511278,16.136842105263156,Very High (Priority Intervention)
Andhra Pradesh,East Godavari,7678.0,301850.0,156025.0,39.31362333941131,20.321047147694713,29.81733524355301,Very High (Priority Intervention)
Andhra Pradesh,Eluru,629.0,8230.0,17584.0,13.084260731319555,27.955484896661368,20.51987281399046,Very High (Priority Intervention)
Andhra Pradesh,Guntur,9729.0,291694.0,177221.0,29.981909754342688,18.2157467365608,24.09882824545174,Very High (Priority Intervention)
Andhra Pradesh,Hyderabad,4840.0,105744.0,36206.0,21.84793388429752,7.480578512396694,14.664256198347108,Very High (Priority Intervention)
Andhra Pradesh,K.V. Rangareddy,19.0,404.0,166.0,21.263157894736842,8.736842105263158,15.0,Very High (Priority Intervention)
Andhra Pradesh,K.V.Rangareddy,69.0,773.0,518.0,11.202898550724637,7.507246376811594,9.355072463768115,Very High (Priority Intervention)
Andhra Pradesh,Kakinada,969.0,11698.0,28269.0,12.072239422084623,29.173374613003094,20.62280701754386,Very High (Priority Intervention)
Andhra Pradesh,Karim Nagar,82.0,1697.0,1151.0,20.695121951219512,14.036585365853659,17.365853658536587,Very High (Priority Intervention)
Andhra Pradesh,Karimnagar,659.0,17127.0,10331.0,25.98937784522003,15.676783004552352,20.83308042488619,Very High (Priority Intervention)
Andhra Pradesh,Khammam,1133.0,40958.0,32368.0,36.150044130626654,28.568402471315093,32.359223300970875,Very High (Priority Intervention)
Andhra Pradesh,Krishna,6737.0,233247.0,111849.0,34.6217901142942,16.60219682351195,25.611993468903073,Very High (Priority Intervention)
Andhra Pradesh,Kurnool,11770.0,350633.0,177645.0,29.790399320305863,15.09303313508921,22.441716227697537,Very High (Priority Intervention)
Andhra Pradesh,Mahabub Nagar,1511.0,13852.0,12813.0,9.167438782263401,8.479814692256783,8.823626737260092,Very High (Priority Intervention)
Andhra Pradesh,Mahabubnagar,7.0,120.0,81.0,17.142857142857142,11.571428571428571,14.357142857142858,Very High (Priority Intervention)
Andhra Pradesh,Mahbubnagar,722.0,14739.0,9897.0,20.414127423822716,13.70775623268698,17.060941828254848,Very High (Priority Intervention)
