state,district,total_enrolments,total_biometric_updates,total_demographic_updates,bio_update_z,demo_update_z
Andhra Pradesh,Kurnool,11770.0,350633.0,177645.0,3.589993764272883,2.152351720374176
Andhra Pradesh,Visakhapatnam,8178.0,311303.0,157193.0,3.092610285304083,1.814968260569783
Bihar,East Champaran,29323.0,212134.0,248028.0,1.838478014115249,3.3134146996139875
Bihar,Patna,24644.0,209014.0,243772.0,1.799021201138319,3.2432062112056412
Bihar,West Champaran,30438.0,166817.0,233389.0,1.2653804520397576,3.071924553512065
Delhi,North West Delhi,16043.0,325293.0,313989.0,3.2695336229794836,4.401530795455841
Delhi,West Delhi,19414.0,173242.0,231805.0,1.3466336646605188,3.0457943266232443
Gujarat,Ahmedabad,19130.0,405490.0,267884.0,4.283738119873987,3.640966331624355
Gujarat,Surat,25469.0,281599.0,357582.0,2.7169611915006455,5.120656414625258
Karnataka,Bengaluru,30980.0,297075.0,303924.0,2.91267710099775,4.23549497876646
Maharashtra,Ahmadnagar,11836.0,363561.0,227667.0,3.7534866098388284,2.9775324081472725
Maharashtra,Amravati,6915.0,338283.0,96191.0,3.433810546239202,0.8086575909537259
Maharashtra,Aurangabad,17393.0,311373.0,155129.0,3.093495534313181,1.7809197831085926
Maharashtra,Jalgaon,13260.0,417384.0,151076.0,4.4341545729341165,1.7140600548381444
Maharashtra,Mumbai,14552.0,404359.0,135483.0,4.26943502516985,1.456832385723637
Maharashtra,Nagpur,11828.0,350923.0,158901.0,3.593661224453431,1.8431440355231326
Maharashtra,Nanded,11947.0,342540.0,236789.0,3.487646332406763,3.1280121617330185
Maharashtra,Nashik,22368.0,576606.0,246100.0,6.447741969027942,3.281609726481635
Maharashtra,Pune,31763.0,605762.0,438478.0,6.816460827731586,6.455145577755329
Maharashtra,Solapur,12292.0,334507.0,265546.0,3.3860576854055844,3.6023978527947698
Maharashtra,Thane,43688.0,571273.0,447253.0,6.380298640949106,6.5999010960314655
Maharashtra,Yavatmal,7594.0,327187.0,196112.0,3.2934859318827865,2.4569899147907486
Rajasthan,Jaipur,31146.0,355884.0,275340.0,3.6564000863696324,3.7639631571818337
Uttar Pradesh,Bareilly,27811.0,234808.0,241742.0,2.125222814576438,3.2097186098266604
Uttar Pradesh,Ghaziabad,23070.0,192022.0,239761.0,1.5841333273870393,3.1770393298602753
West Bengal,Murshidabad,35911.0,219079.0,371953.0,1.9263073622321651,5.35772553749094
West Bengal,North 24 Parganas,28606.0,223910.0,290477.0,1.987402190274328,4.0136684882525895
West Bengal,South 24 Parganas,33542.0,224631.0,401187.0,1.9965202550680352,5.839979990058985
West Bengal,Uttar Dinajpur,26892.0,91756.0,270232.0,0.31612793958420105,3.679699774007531
